name,type,sedol,bidPrice,askPrice,netIC,netAC
JPM Europe Dynamic (Ex-UK) (Class C) (Accumulation),Accumulation,B845HL6,290,290,0,0.89
JPM Europe Dynamic (Ex-UK) (Class C) (Income),Income,B7YLCD4,117.9,117.9,0,0.89
JPM Europe Dynamic (Ex-UK) (Inclusive Accumulation),Accumulation,B02L5M7,269.9,269.9,0,0.9
JPM Europe Dynamic (Ex-UK) (Inclusive Income),Income,B1JFB21,117.3,117.3,0,0.9
JPM Europe Dynamic Technology (A GBP) (Inclusive Income),Income,4481388,3387,3574,0,1.11
JPM Europe Equity (A USD) (Inclusive Accumulation),Accumulation,7601871,1889.81,1993.96,0,0.73
JPM Europe Equity Absolute Alpha (A GBP) (Income),Income,BH4GX03,,,,
JPM Europe Smaller Companies (Class C) (Accumulation),Accumulation,B5SDTW0,983.5,983.5,0,0.9
JPM Europe Smaller Companies (Class C) (Income),Income,B83T7Q4,118.7,118.7,0,0.9
JPM Europe Smaller Companies (Inclusive Accumulation),Accumulation,3088100,916.6,916.6,0,0.9
JPM Europe Smaller Companies (Inclusive Income),Income,B1XMT24,117.3,117.3,0,0.9
JPM Europe Strategic Value (A GBP) (Inclusive Income),Income,4481452,2125,2243,0,1.06
JPM GBP Liquidity VNAV (A) (Inclusive Accumulation),Accumulation,B1FN022,1505,1505,0,0.55
JPM GBP Liquidity VNAV (C) (Accumulation),Accumulation,5702635,1624,1624,0,0.21
JPM Germany Equity (A EUR) (Inclusive Accumulation),Accumulation,B1FMZ24,,,,
JPM Germany Equity (A EUR) (Inclusive Income),Income,5975330,,,,
JPM Germany Equity (C EUR) (Accumulation),Accumulation,7103009,,,,
JPM Global (Ex-UK) Bond (Inclusive Accumulation),Accumulation,3087732,264.7,264.7,0,0.525
JPM Global (Ex-UK) Bond Blass C (Accumulation),Accumulation,B235J08,118.7,118.7,0,0.525
JPM Global (Ex-UK) Bond Blass C (Income),Income,B235J19,109.8,109.8,0,0.525
JPM Global (Ex-UK) Bond (Inclusive Income),Income,3087721,202.6,202.6,0,0.525
JPM Global Bond Opportunities (Class A) (Income),Income,BV9GHR1,46.98,46.98,0,0.65
JPM Global Bond Opportunities (Class C GBP) (Accumulation),Accumulation,BV9GHX7,119.2,119.2,0,0.65
JPM Global Bond Opportunities (Class C GBP) (Income),Income,BV9GHW6,93.92,93.92,0,0.65
JPM Global Equity (A GBP) (Inclusive Income),Income,4907839,3139,3313,0,0.71
JPM Global Equity Income (Class C GBP) (Accumulation),Accumulation,B235J20,317.9,317.9,0,0.9
JPM Global Equity Income (Class C GBP) (Income),Income,B78FJ53,238.7,238.7,0,0.9
JPM Global Equity Income (GBP) (Inclusive Accumulation),Accumulation,B6TPLD7,157.9,157.9,0,0.9
JPM Global Equity Income (GBP) (Inclusive Income),Income,B6X84P5,115.7,115.7,0,0.9
JPM Global Financials (Inclusive Accumulation),Accumulation,3087710,,,,
JPM Global Financials (Inclusive Income),Income,B1XMTK2,,,,
JPM Global Focus (A EUR) (Inclusive Income),Income,7589450,4991.72,5267.75,0,1.02
JPM Global Healthcare (A GBP) (Inclusive Income),Income,B54YX47,35971,37960,0,1.11
JPM Global High Yield Bond (A) (Inclusive Accumulation),Accumulation,0835097,121.2,121.2,0,0.58
JPM Global High Yield Bond (A) (Inclusive Income),Income,0835086,32.35,32.35,0,0.58
JPM Global High Yield Bond (Class C Monthly) (Income),Income,BGP6KY8,83.63,83.63,0,0.6
JPM Global High Yield Bond (Class C) (Accumulation),Accumulation,B235QY1,140.6,140.6,0,0.6
JPM Global High Yield Bond (Class C) (Income),Income,B235R15,84.04,84.04,0,0.6
JPM Global Macro Opportunities (A USD Hedged) (Inclusive Accumulation),Accumulation,BVTVZK5,11659.25,12304.02,0,0.83
JPM Global Macro Opportunities - Class C (Accumulation),Accumulation,B4WKYF8,161.2,161.2,0,0.66
JPM Global Macro Opportunities - Class C (Income),Income,B44CT79,155.3,155.3,0,0.66
JPM Global Macro Sustainable (Class C) (Accumulation),Accumulation,B235HC6,132.5,132.5,0,0.75
JPM Global Macro Sustainable (Class C) (Income),Income,B235HG0,114.1,114.1,0,0.75
JPM Global Research Enhanced Index Equity (Accumulation),Accumulation,BKTDV95,138,138,0,0.35
JPM Global Select Equity (A USD) (Accumulation),Accumulation,5408353,31316.59,33047.39,0,1.76
JPM Global Unconstrained Equity (Class C) (Accumulation),Accumulation,B235QT6,301.3,301.3,0,0.9
JPM Global Unconstrained Equity (Class C) (Income),Income,B71SRV1,281.5,281.5,0,0.9
JPM Global Unconstrained Equity (Inclusive Accumulation),Accumulation,3087787,1948,1948,0,0.9
JPM Global Unconstrained Equity (Inclusive Income),Income,B1XMTN5,144,144,0,0.9
JPM Hong Kong (A USD) (Income),Income,7103623,,,,
JPM Income Opportunity (A GBP Hedged) (Inclusive Income),Income,B285334,8056,8339,0,0.75
JPM India (A USD) (Inclusive Accumulation),Accumulation,B1FMZH9,2836.7,2993.32,0,1.04
JPM India (A USD) (Inclusive Income),Income,4544548,8204.01,8657.97,0,1.04
JPM Japan (Inclusive Accumulation),Accumulation,3087947,518.6,518.6,0,0.9
JPM Japan Class C (Accumulation),Accumulation,B235RG0,296.5,296.5,0,0.79
JPM Japan Class C (Income),Income,B235RJ3,307.1,307.1,0,0.79
JPM Japan (Inclusive Income),Income,B1XMTP7,124.4,124.4,0,0.9
JPM Japan Sustainable Equity (Class A JPY) (Income),Income,B11P2W6,6635.44,7001.97,0,1.05
JPM Korea Equity (Class A) (Accumulation),Accumulation,B28M391,1315.79,1388.14,0,1.06
JPM Latin American Equity (A USD) (Inclusive Accumulation),Accumulation,B1FMZV3,2104.47,2220.54,0,1.15
JPM Latin American Equity (A USD) (Inclusive Income),Income,4330833,3635.71,3836.86,0,1.15
JPM Multi Asset Income (A) (Inclusive Accumulation),Accumulation,B4N1ZJ1,103.9,103.9,0,0.775
JPM Multi Asset Income (A) (Inclusive Income),Income,B4N1ZR9,61.23,61.23,0,0.775
JPM Multi Asset Income (Class C Monthly) (Income),Income,BGP6L12,109.6,109.6,0,0.75
JPM Multi Asset Income (Class C) (Accumulation),Accumulation,B4N20M2,160.8,160.8,0,0.71
JPM Multi Asset Income (Class C) (Income),Income,B4N20S8,110.2,110.2,0,0.71
JPM Multi-Asset Cautious (Class C) (Accumulation),Accumulation,BJRDJV8,100.9,100.9,0,0.54
JPM Multi-Asset Growth (Class C) (Accumulation),Accumulation,BJRDJX0,111.8,111.8,0,0.54
JPM Multi-Asset Moderate (Class C) (Accumulation),Accumulation,BJRDJW9,108,108,0,0.46
JPM Multi-Manager Growth (Class C) (Accumulation),Accumulation,B235R82,255.9,255.9,0,0.66
JPM Multi-Manager Growth (Class C) (Income),Income,B235RD7,228.5,228.5,0,0.66
JPM Multi-Manager Growth (Inclusive Accumulation),Accumulation,3087635,1273,1273,0,0.665
JPM Multi-Manager Growth (Inclusive Income),Income,3086977,1131,1131,0,0.665
JPM Natural Resources (Class C) (Accumulation),Accumulation,B88MP08,1087,1087,0,0.825
JPM Natural Resources (Class C) (Income),Income,B61M943,65.05,65.05,0,0.825
JPM Natural Resources (Inclusive Accumulation),Accumulation,3183511,1013,1013,0,0.9
JPM Natural Resources (Inclusive Income),Income,B1XMTQ8,64.88,64.88,0,0.9
JPM Pacific Equity (A GBP) (Inclusive Income),Income,4483168,3146,3320,0,1.06
JPM Pacific Equity (A USD) (Inclusive Accumulation),Accumulation,B1FMZP7,2183.18,2304.02,0,0.99
JPM Pacific Equity (A USD) (Inclusive Income),Income,4342991,9883.13,10429.32,0,0.99
JPM Russia (A USD) (Inclusive Accumulation),Accumulation,B1FL413,809.35,853.87,0,1.16
JPM Russia (A USD) (Inclusive Income),Income,B0V2V34,601.84,635.24,0,1.16
JPM Singapore (A Dist USD) (Inclusive Income),Income,7103612,,,,
JPM Singapore (C Dist USD) (Accumulation),Accumulation,7100118,,,,
JPM Sterling Corporate Bond (Class C) (Accumulation),Accumulation,B235SF6,133.8,133.8,0,0.55
JPM Sterling Corporate Bond (Class C) (Income),Income,B235SK1,118.7,118.7,0,0.55
JPM Sterling Corporate Bond (Inclusive Accumulation),Accumulation,3087754,92.55,92.55,0,0.55
JPM Sterling Corporate Bond (Inclusive Income),Income,3087743,52.35,52.35,0,0.55
JPM Taiwan (A USD) (Inclusive Accumulation),Accumulation,B1FMZR9,2858.96,3017.17,0,1.05
JPM Thematics Genetic Therapies (A Hedged GBP) (Accumulation),Accumulation,BHWTQL6,10252,10819,0,1.02
JPM Thematics Genetic Therapies (A Hedged GBP) (Income),Income,BHWTQT4,10253,10820,0,1.02
JPM UK Dynamic (Class C) (Accumulation),Accumulation,B6X9BB3,229.1,229.1,0,0.85
JPM UK Dynamic (Class C) (Income),Income,B6THL00,155.6,155.6,0,0.85
JPM UK Dynamic (Inclusive Accumulation),Accumulation,0969800,213.7,213.7,0,0.9
JPM UK Dynamic (Inclusive Income),Income,0969792,154.9,154.9,0,0.9
JPM UK Equity Core (E Quarterly) (Accumulation),Accumulation,BF09LN1,61.57,61.57,0,0.36
JPM UK Equity Core (E Quarterly) (Income),Income,BYM41F9,54.7,54.7,0,0.36
JPM UK Equity Core (Accumulation),Accumulation,B55QSH0,432.2,432.2,0,0.3
JPM UK Equity Core (Income),Income,B58L4H4,64.63,64.63,0,0.3
JPM UK Equity Growth (Class C) (Accumulation),Accumulation,B3FJQD7,221.6,221.6,0,0.9
JPM UK Equity Growth (Class C) (Income),Income,B3FJQH1,179.9,179.9,0,0.9
JPM UK Equity Growth (Inclusive Accumulation),Accumulation,B3FJQ82,155.9,155.9,0,0.9
JPM UK Equity Growth (Inclusive Income),Income,B3FJQ93,130.8,130.8,0,0.9
JPM UK Equity Income (Class C) (Accumulation),Accumulation,BYTRDH7,122.3,122.3,0,0.75
JPM UK Equity Income (Class C) (Income),Income,BYTRDJ9,97.57,97.57,0,0.75
JPM UK Equity Plus (C) (Accumulation),Accumulation,BW4Q9B1,167.4,167.4,0,0.8
JPM UK Equity Plus (C) (Income),Income,BW4Q999,143,143,0,0.82
JPM UK Equity Value (Class B) (Accumulation),Accumulation,B1YXNF7,214.4,214.4,0,0.75
JPM UK Government Bond (Class C) (Accumulation),Accumulation,BJRDD27,88.65,88.65,0,0.35
JPM UK Smaller Companies (Class C) (Accumulation),Accumulation,B84LQR3,656.9,656.9,0,0.9
JPM UK Smaller Companies (Class C) (Income),Income,B8MZ4L7,115.2,115.2,0,0.9
JPM UK Smaller Companies (Inclusive Accumulation),Accumulation,3088025,613.1,613.1,0,0.9
JPM UK Smaller Companies (Inclusive Income),Income,B1XN4Q6,114,114,0,0.9
JPM UK Strategic Equity Income (Class C) (Accumulation),Accumulation,B235SZ6,202.5,202.5,0,0.75
JPM UK Strategic Equity Income (Class C) (Income),Income,B235T31,140.8,140.8,0,0.75
JPM UK Strategic Equity Income (Inclusive Accumulation),Accumulation,0412490,207.5,207.5,0,0.75
JPM UK Strategic Equity Income (Inclusive Income),Income,0412434,106,106,0,0.75
JPM UK Sustainable Equity (C GBP) (Accumulation),Accumulation,BMTR975,90.19,90.19,0,0.75
JPM Unconstrained Bond (Class C) (Accumulation),Accumulation,B3RJBC9,117.7,117.7,0,0.65
JPM Unconstrained Bond (Class C) (Income),Income,B3RJBL8,97.64,97.64,0,0.65
JPM Unconstrained Bond (Inclusive Accumulation),Accumulation,B3RJ9B4,74.77,74.77,0,0.65
JPM Unconstrained Bond (Inclusive Income),Income,B3RJ9K3,53.11,53.11,0,0.65
JPM US Equity Income (Class C GBP) (Accumulation),Accumulation,B3FJQ48,409.5,409.5,0,0.77
JPM US Equity Income (Class C GBP) (Income),Income,B3FJQ59,440.5,440.5,0,0.77
JPM US Equity Income (GBP) (Inclusive Accumulation),Accumulation,B3FJQ04,277.2,277.2,0,0.87
JPM US Equity Income (GBP) (Inclusive Income),Income,B3FJQ15,204.2,204.2,0,0.87
JPM US Fund (Class C) (Accumulation),Accumulation,B235T42,,,,
JPM US Fund (Class C) (Income),Income,B235T64,,,,
JPM US Fund (Inclusive Accumulation),Accumulation,3087884,,,,
JPM US Fund (Inclusive Income),Income,B1XN4S8,,,,
JPM US Select (Class C) (Accumulation),Accumulation,B2Q5DR0,764.5,764.5,0,0.62
JPM US Select (Class C) (Income),Income,B2Q5DQ9,419.1,419.1,0,0.62
JPM US Select (Inclusive Accumulation),Accumulation,B2Q5DW5,294.2,294.2,0,0.65
JPM US Select Equity Plus (A USD) (Inclusive Accumulation),Accumulation,B1VVMZ7,2664.97,2812.05,0,1.7
JPM US Select (Inclusive Income),Income,B2Q5DX6,287.1,287.1,0,0.65
JPM US Small Cap Growth (Class C) (Accumulation),Accumulation,B8H99P3,910.1,910.1,0,0.8
JPM US Small Cap Growth (Class C) (Income),Income,B88VFM7,237.8,237.8,0,0.8
JPM US Sustainable Equity (C GBP) (Accumulation),Accumulation,BLSN6P4,97.63,97.63,0,0.65
JPM US Sustainable Equity (C GBP) (Income),Income,BLSN6R6,97.53,97.53,0,0.65
JPM US Technology (A EUR) (Accumulation),Accumulation,B0S6KG5,50253.04,53030.49,0,1.71
JPM US Technology (A GBP) (Inclusive Income),Income,4481399,1057,1115,0,1.09
JPM US Technology (A USD) (Inclusive Income),Income,5383494,2668.95,2816.82,0,1.03
JPMorgan Climate Change Solutions (Class C) (Accumulation),Accumulation,BNKF8S9,94.8,94.8,0,0.7
Junior Gold Trust (Class C) (Inclusive Accumulation),Accumulation,B39RN47,35.47,35.47,0,1.65
Junior Gold Trust (Class P) (Accumulation),Accumulation,BH57BR8,37.84,37.84,0,1.25
Jupiter Asian (Class I) (Accumulation),Accumulation,B54HB97,1045.5,1045.5,0,0.99
Jupiter Asian (Class I) (Income),Income,B8JWRF6,990.57,990.57,0,0.99
Jupiter Asian (Class L) (Accumulation),Accumulation,BF154K6,972.04,972.04,0,0.99
Jupiter Asian (Class L) (Income),Income,0666220,966.87,966.87,0,0.99
Jupiter Asian Income (Class I) (Accumulation),Accumulation,BZ2YND8,207.35,207.35,0,0.69
Jupiter Asian Income (Class I) (Income),Income,BZ2YMT7,164.48,164.48,0,0.69
Jupiter China (Class I) (Accumulation),Accumulation,B3ZPHC1,109.7,109.7,0,0.99
Jupiter China (Class I) (Income),Income,B86PDR2,96.94,96.94,0,0.99
Jupiter China (Inclusive Accumulation),Accumulation,B1DTDX4,101.3,101.3,0,0.99
Jupiter China (Inclusive Income),Income,B1DTDY5,94.49,94.49,0,0.99
Jupiter Corporate Bond (Class I) (Accumulation),Accumulation,B743QD8,70.63,70.63,0,0.49
Jupiter Corporate Bond (Class I) (Income),Income,B743QK5,56.37,56.37,0,0.49
Jupiter Corporate Bond (Inclusive Accumulation),Accumulation,BF154L7,61.01,61.01,0,0.49
Jupiter Corporate Bond (Inclusive Income),Income,0269180,56.3,56.3,0,0.49
Jupiter Dynamic Bond (L GBP) (Inclusive Income),Income,B56LCL6,964,964,0,0.8
Jupiter Dynamic Bond ESG (Class D) (Accumulation),Accumulation,BMWPDN0,9175,9175,0,0.68
Jupiter Ecology (Class I) (Accumulation),Accumulation,B4KLC26,596.64,596.64,0,0.78
Jupiter Ecology (Class I) (Income),Income,B7W6PR6,561.14,561.14,0,0.78
Jupiter Ecology (Inclusive Accumulation),Accumulation,BF154N9,517.91,517.91,0,0.93
Jupiter Ecology (Inclusive Income),Income,0581215,516.04,516.04,0,0.93
Jupiter Emerging European Opportunities (Class I) (Accumulation),Accumulation,B45MWP7,157.17,157.17,0,0.99
Jupiter Emerging European Opportunities (Inclusive Accumulation),Accumulation,3186253,145.34,145.34,0,0.99
Jupiter Emerging Market Debt (Class S) (Income),Income,B53SCL0,818.32,818.32,0,1.4
Jupiter Europe (Ex UK) Smaller Companies (I) (Accumulation),Accumulation,BRTNQ88,1696.2,1696.2,0,1.2
Jupiter Europe (Ex UK) Smaller Companies (I) (Income),Income,BRTNQV1,1423.34,1423.34,0,1.2
Jupiter European (Class I) (Accumulation),Accumulation,B5STJW8,2986.59,2986.59,0,0.99
Jupiter European (Class I) (Income),Income,B4NVSH0,2800.11,2800.11,0,0.99
Jupiter European (Inclusive Accumulation),Accumulation,BF154M8,2717.88,2717.88,0,0.99
